num,logFC,logCPM,PValue
3393,-0.136339113,8.406608761,0.106353446
3400,-0.110571761,8.060379047,0.156106009
3401,-0.046907357,7.568975578,0.623090853
3414,0.025095446,8.297276242,0.771026006
3418,-0.009025023,10.06051046,0.916004076
3429,-0.018398282,8.112356769,0.824269255
3433,-0.065444291,7.206778946,0.496289619
3448,-0.171895551,8.89520689,0.142542597
3449,0.055190202,7.36873353,0.601379723
3558,-0.11612553,8.584999626,0.240078164
3575,-0.04954002,7.695659231,0.541140703
3580,0.132090249,9.235560007,0.08991174
3583,0.186198435,7.518359897,0.029936047
3627,-0.058107266,7.738570592,0.50861033
3636,-0.07983718,7.302534139,0.386014097
3662,0.067479815,7.192955382,0.510750701
3676,-0.205735575,8.079460133,0.013318293
3679,-0.128289874,7.205344174,0.138322108
3693,0.03300651,7.360672813,0.723723108
3703,0.191046125,7.413812968,0.024176091
3723,0.010528198,7.719131891,0.892504012
3732,0.012700035,7.711291869,0.911639908
3753,0.031772793,7.665208127,0.697913785
3767,0.026125896,7.636387575,0.773302025
3773,-0.032596748,7.287798416,0.730553356
3777,-0.016079031,7.340435495,0.854583992
3786,-0.029697406,7.162265985,0.776673461
3789,0.044429087,7.677034939,0.614058157
3867,0.114534051,9.87359692,0.172208594
3906,0.004546993,8.85689012,0.955357564
3917,0.061896993,8.158826703,0.419792248
3919,-0.161681653,8.905904203,0.046605204
3921,0.043232482,7.257800669,0.690453902
3942,0.013728459,8.289956605,0.865353671
3995,-0.036085263,7.737781852,0.680251927
3998,-0.071504182,7.764216257,0.368863797
4024,-0.075096215,7.200765248,0.44716667
4031,-0.038494363,7.719418374,0.652726609
4074,-0.035217594,9.164010554,0.656371265
4089,0.03148025,9.256627629,0.695982146
4097,0.005212974,8.945914315,0.94634113
4103,0.112049204,7.642115345,0.178032785
4107,-0.036925407,7.720552395,0.66038088
4123,0.082701599,7.413922222,0.359747075
4139,-0.066636169,8.329905692,0.368403256
4151,0.102844325,9.880503385,0.228926615
4218,0.115072428,8.064232196,0.207784896
4220,-0.023979787,7.55955505,0.808438122
4247,0.010381481,8.609606244,0.901612326
4297,-0.011151105,7.40146377,0.907845749
4311,-0.051174538,7.752336395,0.563515906
4333,0.130073942,9.152444166,0.10500621
4340,0.051832267,7.920958603,0.512402396
4355,-0.025652983,7.162139237,0.834696247
4365,0.01407636,7.512289887,0.869841789
4378,-0.125789383,7.820132785,0.100549076
4382,-0.07493134,7.817264368,0.395242934
4405,0.04162025,8.932178356,0.592623312
4409,-0.195166296,7.576651048,0.040107792
4428,-0.026837518,8.092448566,0.725067101
4430,0.027118188,8.125344853,0.755472907
4464,-0.251601942,7.827265038,0.015869814
4467,0.039343656,10.68394009,0.635815533
4493,-0.027675826,7.347383094,0.769525585
4511,-0.234527236,7.3896378,0.016268564
4528,-0.023574996,8.863570959,0.781918843
4592,0.024325053,7.823284683,0.805662967
4599,0.094150274,8.178048838,0.265179517
4616,0.029552631,7.52271946,0.732744181
4644,0.157768351,7.303344941,0.106420714
4647,0.157223995,9.096821841,0.0565306
4654,0.0417393,7.634785093,0.616372497
4692,0.169601205,9.956316142,0.06659056
4695,0.027538126,9.212010559,0.755848057
4700,0.015584774,7.631541332,0.856680225
4746,0.106619741,7.780858414,0.180630729
4767,-0.00702237,8.299652298,0.928901171
4768,-0.071305668,7.474782093,0.383072887
4783,-0.020145728,7.894969463,0.81322516
4787,0.203740589,7.116668721,0.037634776
4792,0.038691575,7.332387555,0.700934564
4793,-0.028889013,8.818991014,0.706095299
4803,0.003807098,8.939442246,0.964330108
4806,0.052140874,9.334790118,0.500781988
4810,-0.068902043,9.787808865,0.453129453
4817,-0.029878846,7.294518518,0.796249752
4821,0.11425628,7.776063251,0.167677785
4823,-0.053018113,9.296445161,0.526202249
4826,-0.130853007,8.108950292,0.116875485
4834,-0.020642517,11.03358976,0.806122955
4845,0.089454856,7.893812026,0.337798969
4847,0.135923365,8.199575913,0.118237872
4861,-0.06103163,7.210085762,0.560518365
4873,-0.119648504,10.31027289,0.192819772
4879,-0.215856397,7.968044298,0.032650529
4899,-0.079117858,8.541706577,0.447069547
4941,0.018146472,8.892045705,0.819348499
4943,0.061989433,7.489309007,0.468204415
4954,0.016939649,7.917658384,0.859334159
4982,-0.041082304,8.066660664,0.631775465
4986,-0.252817045,8.017051981,0.012198174
4990,0.089591215,7.27735402,0.359536639
5010,-0.043642887,7.871984329,0.604427703
5028,0.037033226,8.673381344,0.645811532
5032,0.069021274,7.890567489,0.442672399
5048,-0.098306225,10.52711072,0.280665814
5051,-0.049788293,7.438042252,0.569577849
5056,-0.036474808,7.383187311,0.662500038
5081,0.020852231,8.935618556,0.793381082
5095,0.098215412,8.756053658,0.31751687
5097,0.021436422,9.100699001,0.782885364
5155,-0.020209832,7.223322462,0.84496255
5158,-0.15210195,7.813805306,0.108524792
5161,0.004343559,8.17998125,0.95237206
5186,-0.046143133,8.502744766,0.581595365
5193,-0.058215992,7.837508991,0.52453466
5207,-0.007964542,7.42567513,0.922210202
5211,0.033683447,8.045545421,0.709935306
5214,-0.117736288,7.457954898,0.202758712
5215,0.058495141,10.53216854,0.508268778
5256,-0.025963089,7.615565709,0.771501449
5367,-0.121563391,7.76419451,0.113524235
5420,-0.205981315,10.30438734,0.017920305
5481,0.110179948,7.366136345,0.193627158
5482,-0.078356689,7.186735663,0.427895526
5493,0.091048362,7.414562971,0.299386054
5499,0.023242483,9.25153455,0.760736643
5518,0.012490452,8.480683389,0.863476671
5525,0.064220528,8.803552545,0.428356267
5536,-0.081181004,8.471183003,0.287432459
5546,0.074284987,7.411530075,0.428523746
5590,0.082056448,8.058938492,0.290245861
5621,0.228019905,7.463679992,0.016340396
5645,-0.182575701,7.365549841,0.099629461
5654,-0.078404858,7.967206524,0.375405363
5658,-0.327375612,9.351489085,0.001168128
5707,-0.157460367,7.716828299,0.10984233
5755,0.022952423,7.902390908,0.802719184
5763,-0.084314692,8.502427085,0.278200696
5764,-0.035137447,7.443656231,0.673457524
5766,0.041695445,7.669264016,0.645927182
5777,-0.100543026,7.271914514,0.297182035
5781,-0.149685393,7.192687266,0.120074473
5782,0.023591359,7.421378251,0.778042516
5798,0.065570244,8.650743909,0.419196918
5808,-0.004412363,7.270011465,0.961920971
5810,-0.011743128,7.96910047,0.917948627
5849,0.021290262,8.175259209,0.81911414
5853,0.021353961,7.664390473,0.799959703
5910,0.015302485,7.330864353,0.86220763
5912,-0.059454423,8.27719249,0.500312253
5959,0.114885391,7.157950144,0.268414459
5962,0.062455219,7.242824983,0.53177775
5964,0.071579599,7.490614396,0.413991918
5968,0.064699113,7.279882054,0.522306207
5972,-0.01954006,7.670349974,0.839291494
5992,-0.09446803,7.351865184,0.411067379
6001,-0.096103263,8.496863687,0.213230454
6013,0.133507869,7.232334991,0.205143464
6044,0.111557665,7.820931003,0.254277453
6076,0.034765179,9.445788354,0.739118562
6086,0.034912787,7.867433455,0.729023393
6112,0.082377321,7.135273375,0.437861675
6122,-0.076839598,7.897365434,0.352294131
6129,-0.050261138,8.729089916,0.532478472
6136,0.035859135,7.919264914,0.655619333
6142,-0.034042072,8.557237671,0.658099807
6205,-0.013181113,7.895713089,0.894416765
6214,0.083219439,8.343725035,0.265537172
6222,0.029878178,7.924312753,0.697139856
6228,-0.193650121,10.19152833,0.057334871
6229,0.098181902,7.09892788,0.341976416
6232,0.135322036,7.819109257,0.161696376
6240,0.190163718,7.209950105,0.041902204
6306,-0.112484453,7.313691456,0.249182378
6307,0.041913992,7.815423184,0.691738564
6313,0.107317974,9.858702325,0.272795893
6323,-0.04426707,9.512933965,0.594238554
6354,-0.136195748,8.383396797,0.086368179
6396,-0.065191938,7.454222329,0.421132831
6399,0.016314254,9.375419324,0.841142778
6468,-0.047120632,7.656906545,0.610938564
6490,-0.231609987,7.3068479,0.090181672
6496,-0.058861616,7.709104621,0.463472739
6501,-0.051777851,7.201511826,0.636755453
6541,0.057881126,8.143629658,0.512064258
6558,-0.044291898,9.457912122,0.642884939
6563,0.102690609,7.192004881,0.288590541
6586,-0.020686747,8.245456342,0.813478399
6588,0.304054573,9.440892574,0.002560374
