Mock_1,Mock_2,Mock_3,dCC_MeCP2_1,dCC_MeCP2_2,dCC_MeCP2_3,dCC_scramble_1,dCC_scramble_2,dCC_scramble_3
11.02496805,11.00397961,3.620794066,1.044049398,15.75329304,1.777078396,22.86077741,10.21562789,7.224637924
38.58738817,13.44930841,13.27624491,22.96908676,34.50721332,31.98741113,32.38610133,40.01120923,27.86646056
1562.237973,1531.998494,1556.941448,1484.638244,1473.307977,1620.695497,1553.580331,1639.608276,1671.987634
0,3.667993203,2.413862711,1.044049398,0.750156811,0.888539198,0,0.851302324,0
17.63994888,18.33996602,13.27624491,24.01313616,33.0068997,15.99370557,17.14558305,22.98516275,17.54554924
1308.663707,1382.833438,1295.037344,1348.911823,1227.256543,1439.433501,1306.874442,1473.604323,1305.595282
357.2089648,467.0578012,464.6685718,424.9281051,375.0784056,477.1455494,383.8705539,383.0860458,443.7991867
0,0,0,0,0,0,0,0,0
691.2654967,695.6960442,689.1578039,700.5571463,660.1379939,612.2035075,657.2473504,570.3725571,612.0300413
15.43495527,18.33996602,14.48317626,8.352395187,5.251097679,5.331235188,8.572791527,16.17474416,3.096273396
0,0,0,0,0,0,0,3.405209296,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,3.000627245,0,0,0,0
755.2103114,670.0200918,648.1221378,620.1653426,756.9082226,636.1940658,757.2632516,643.584557,610.9979501
2.20499361,2.445328802,0,0,0,0,0,0.851302324,0
353.9014744,268.9861682,300.5259075,257.8802014,409.5856189,337.6448953,333.3863372,331.156604,283.8250613
0,0,0,0,0,0,0,0,0
56.22733705,40.34792523,42.24259744,65.7751121,51.01066317,56.86650868,62.86713787,58.73986036,38.18737188
8299.595947,6856.701961,6858.990892,6821.818769,9211.175485,7187.393573,6575.331101,6316.663244,6897.465035
9.922471244,8.558650807,22.93169575,16.70479037,24.75517477,5.331235188,9.525323919,11.06693021,7.224637924
380.3613977,294.6621206,318.6298778,257.8802014,364.5762103,350.9729832,329.5762076,371.1678133,373.6169898
3699.979277,3513.937489,3638.898036,3429.702274,3554.993129,3366.675022,3536.752771,3420.532738,3406.932827
41.89487859,61.13322005,28.96635253,26.10123496,55.51160403,45.3154991,38.10129568,38.30860458,34.05900736
0,2.445328802,0,1.044049398,0,0,0,0,0
442.1012188,445.049842,455.0131209,468.7781799,460.5962821,433.6071287,451.5003538,486.9449293,437.60664
1683.512621,1517.326522,1490.560224,1604.703925,1564.827108,1634.023585,1579.298706,1769.006229,1478.986592
0,0,0,0,0,0,0,0,0
20.94743929,14.67197281,12.06931355,26.10123496,25.50533158,26.65617594,25.71837458,13.62083718,28.8985517
7.717477634,7.335986406,2.413862711,12.52859278,2.250470434,7.996852783,23.8133098,22.13386042,2.064182264
0,0,0,0,0,0,0,0,0
0,0,3.620794066,0,0,0,0,0,0
175.296992,145.4970637,150.8664194,116.9335326,215.2950048,166.15683,185.7438164,154.937023,151.7173964
485.0985942,410.8152387,424.8398371,367.5053882,526.6100815,480.6997062,471.503534,535.4691618,459.2805537
1310.868701,1249.563018,1330.038354,1222.581845,1170.994782,1254.617348,1229.719318,1270.99437,1251.926543
1.102496805,1.222664401,6.034656776,1.044049398,0.750156811,2.665617594,0,3.405209296,0
24.25492971,34.23460323,21.7247644,20.88098797,16.50344985,21.32494075,21.90824501,41.71381388,10.32091132
5.512484025,3.667993203,7.241588132,1.044049398,10.50219536,6.219774387,11.4303887,14.47213951,2.064182264
490.6110782,414.483232,376.5625829,441.6328955,516.858043,382.0718552,495.3168438,452.8928364,492.30747
1180.774078,1012.366124,1025.891652,1069.106584,1074.224554,1123.113546,1064.931214,996.8750214,980.4865754
1026.424525,847.3064299,925.7163495,996.023126,935.4455436,967.6191867,868.7095414,812.1424171,858.6998218
366.0289392,264.0955106,270.3526236,281.8933376,387.0809146,312.7657977,371.4876329,292.8479995,358.1356228
958.0697235,837.5251147,856.9212623,863.4288524,963.9515025,961.3994123,889.6652541,1029.22451,885.5341912
0,2.445328802,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
42.99737539,33.01193883,47.07032286,39.67387714,45.00940868,35.54156792,50.48421677,40.86251155,28.8985517
934.9172906,1074.722009,980.0282605,936.5123103,900.1881735,900.9787469,813.4626627,879.3953007,974.2940286
0,1.222664401,2.413862711,0,1.500313623,6.219774387,4.76266196,0,0
0,0,0,0,0.750156811,0,0,0,0
0,0,0,0,0,0,0,0,0
0,2.445328802,0,1.044049398,0.750156811,0,0,1.702604648,0
0,0,0,0,1.500313623,0,0,1.702604648,0
0,0,0,0,0,0,0,0,0
9.922471244,12.22664401,3.620794066,6.26429639,5.251097679,16.88224476,10.47785631,4.25651162,2.064182264
7.717477634,28.12128122,9.655450842,5.220246992,9.001881735,10.66247038,18.09811545,15.32344183,7.224637924
9.922471244,40.34792523,37.41487201,17.74883977,25.50533158,6.219774387,14.28798588,14.47213951,26.83436943
2193.968642,2341.402328,2410.241917,2675.898608,1868.640617,2260.44372,2014.606009,2085.690694,2157.070466
9.922471244,23.23062362,28.96635253,20.88098797,15.75329304,31.98741113,22.86077741,17.02604648,2.064182264
87.09724759,132.0477553,142.4178999,101.2727916,134.2780692,122.6184093,115.2564194,128.5466509,144.4927585
6.61498083,1.222664401,3.620794066,5.220246992,5.251097679,3.554156792,3.810129568,4.25651162,5.16045566
4.40998722,0,0,0,1.500313623,0,0,0,1.032091132
5.512484025,8.558650807,3.620794066,10.44049398,6.751411301,11.55100958,0,14.47213951,7.224637924
0,0,0,0,0,0,0,0,0
3195.035741,2391.531568,2364.378525,2596.550854,3641.261162,2755.360053,2622.321675,2662.022367,2718.528042
1.102496805,1.222664401,4.827725421,5.220246992,3.750784056,0,5.715194352,11.91823254,2.064182264
801.5151772,805.7358403,803.8162826,858.2086054,735.9038318,677.0668689,808.7000007,588.2499059,687.3726939
4.40998722,0,4.827725421,0,5.251097679,0,0,0,9.288820188
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1.222664401,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1.222664401,0,0,0.750156811,1.777078396,4.76266196,4.25651162,4.128364528
0,0,0,0,0,0,0,0,0
1388.043477,1465.974617,1389.17799,1202.744907,1556.575383,1392.340923,1622.162663,1660.890834,1606.965892
1.102496805,4.890657604,4.827725421,0,6.751411301,0,2.857597176,1.702604648,13.41718472
0,0,0,0,4.500940868,0,0,0,0
0,0,2.413862711,0,0,0,0,0,2.064182264
0,0,0,0,0,0,2.857597176,0,0
5.512484025,9.781315208,1.206931355,4.176197593,2.250470434,0,2.857597176,0.851302324,2.064182264
1.102496805,0,0,0,1.500313623,0,13.33545349,0,5.16045566
0,3.667993203,1.206931355,3.132148195,2.250470434,0,16.19305066,0,0
0,1.222664401,0,3.132148195,4.500940868,0,0.952532392,5.107813944,0
1.102496805,0,3.620794066,0,0,0,0,0,0
43525.47136,34285.95513,39284.40868,41074.99143,43236.78813,41105.60038,38898.56529,32242.22422,30620.0797
58.43233066,50.12924044,57.93270505,52.20246992,50.26050635,34.65302873,20.00318023,24.6877674,27.86646056
4.40998722,4.890657604,3.620794066,4.176197593,4.500940868,8.885391981,5.715194352,17.8773488,0
2.20499361,2.445328802,0,1.044049398,2.250470434,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.952532392,0,0
0,0,0,0,0,0,0,0,0
0,0,4.827725421,0,0,0,0.952532392,1.702604648,0
8.819974439,0,0,0,3.000627245,0,0.952532392,0,5.16045566
0,0,0,0,0,0,0,0,0
625.1156884,557.5349669,517.7735514,526.2008968,514.6075725,596.2098019,484.8389875,512.4839991,397.3550858
0,0,0,0,11.25235217,2.665617594,6.667726743,0.851302324,9.288820188
0,0,1.206931355,0,1.500313623,0,0,13.62083718,5.16045566
26.45992332,18.33996602,12.06931355,22.96908676,33.0068997,10.66247038,18.09811545,27.24167437,37.15528075
1937.086886,1884.125842,2010.747638,1741.474396,1816.12964,1797.514798,1795.523559,1674.511671,1702.950368
0,2.445328802,0,0,0,0,0,0,0
103.6346997,96.59048768,78.45053809,92.92039645,93.0194446,98.62785099,90.49057723,126.8440463,75.34265263
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
501.6360462,460.9444792,474.3240226,511.5842052,461.3464389,484.253863,412.4465257,461.4058596,522.2381128
11.02496805,17.11730161,13.27624491,10.44049398,7.501568113,12.43954877,1.905064784,22.98516275,10.32091132
1127.854231,863.2010671,1098.307533,1022.124361,1086.97722,1068.024116,1094.459718,1185.012835,1130.13979
416.7437923,368.0219847,432.0814252,436.4126485,421.5881279,546.4516068,483.8864551,432.4615806,443.7991867
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
151.0420623,129.6024265,90.51985165,137.8145206,219.0457889,146.6089677,133.3545349,137.9109765,171.3271279
3419.945089,2949.066535,3074.054162,3076.813577,3343.448908,3475.076804,3471.980569,3432.45097,3090.080849
0,0,0,0,0,0,0,0,2.064182264
663.7030766,659.0161122,626.3973734,505.3199088,642.8843872,542.0089108,668.6777391,594.2090222,661.5704156
0,0,0,0,0,0,0,0,0
719.9304136,808.1811691,739.8489208,796.6096909,632.3821919,763.2551712,650.5796237,692.1087894,748.2660707
6.61498083,4.890657604,14.48317626,3.132148195,10.50219536,10.66247038,13.33545349,8.51302324,8.256729056
369.3364296,293.4394562,360.8724752,315.3029183,298.5624109,247.9024363,291.4749119,357.5469761,330.2691622
23.1524329,14.67197281,6.034656776,8.352395187,4.500940868,3.554156792,1.905064784,2.553906972,5.16045566
4.40998722,1.222664401,2.413862711,5.220246992,0,0,3.810129568,0,0
0,0,0,0,0,0,0,0,0
72.76478912,34.23460323,42.24259744,43.85007473,61.51285852,25.76763674,32.38610133,29.79558134,35.09109849
1.102496805,0,0,0,0,0,0,0,0
