,logFC,logCPM,PValue,FDR
9851,-0.128925138,7.448945653,0.155900602,0.964826448
362,0.108724745,8.835498102,0.156132947,0.964826448
45624,-0.128710035,7.66912407,0.157182758,0.964826448
44366,0.118014173,7.518852868,0.157576176,0.964826448
51257,0.130323369,7.202472495,0.157945368,0.964826448
16577,0.121575525,7.80723834,0.158114659,0.964826448
26036,-0.10644088,8.025899749,0.158182959,0.964826448
52917,-0.144383935,9.131810786,0.158383468,0.964826448
41,0.262807924,7.741927788,0.158630247,0.964826448
5214,0.13014889,7.457954898,0.158812461,0.964826448
44765,-0.151975542,7.434985972,0.159046868,0.964826448
44815,-0.167748005,8.232059482,0.159619235,0.964826448
52870,-0.194077953,7.693730622,0.159741653,0.964826448
3449,-0.147903647,7.36873353,0.160007694,0.964826448
56019,-0.126961898,7.396963832,0.16046943,0.964826448
46964,-0.159984882,7.358234759,0.160812017,0.964826448
48899,0.144299536,7.333763882,0.161229183,0.964826448
31932,0.123916951,8.694542183,0.161721565,0.964826448
52593,-0.15414186,7.562778737,0.161787409,0.964826448
53167,-0.139161286,7.185242675,0.162165563,0.964826448
10107,-0.130019816,7.224326029,0.16257422,0.964826448
23517,-0.164712951,7.291017478,0.162689126,0.964826448
20881,-0.122493963,8.590178158,0.162808785,0.964826448
15122,-0.115437816,7.605326148,0.163075451,0.964826448
2513,0.103550735,8.469798371,0.163561832,0.964826448
55911,-0.164610966,7.704083937,0.163579393,0.964826448
51320,0.10839636,9.011063727,0.164245638,0.964826448
24905,0.153592467,7.482120607,0.164331208,0.964826448
17593,0.111313334,7.763096012,0.164349777,0.964826448
1352,-0.134024834,7.204398245,0.16462801,0.964826448
21454,0.13050512,7.894617156,0.164993736,0.964826448
38455,-0.112387096,8.007067076,0.165390895,0.964826448
39552,0.13632405,7.477928445,0.166190962,0.964826448
17213,-0.103168324,8.04786537,0.166210755,0.964826448
17639,0.119515701,11.64257625,0.166238996,0.964826448
45471,-0.123007718,8.581195501,0.166512954,0.964826448
3575,0.111850596,7.695659231,0.166768356,0.964826448
20214,-0.098130947,8.340813135,0.167020943,0.964826448
46802,-0.105284825,7.979509144,0.167188604,0.964826448
17883,-0.117239473,8.050382244,0.167433355,0.964826448
3108,0.110168833,7.505071473,0.167567919,0.964826448
